short_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
lightbend.actors.remote_deserialization_time.stddev,gauge,,nanosecond,,Standard deviation for the time for deserialization of remote messages.,0,Lightbend Reactive Platform,lrp deser tm stdev
lightbend.actors.remote_large_message_sent.mean_rate,gauge,,event,second,Average rate of threshold limit events for large remote messages sent.,0,Lightbend Reactive Platform,lrp lg r msgs sen mean
lightbend.actors.remote_large_message_sent.min1_rate,gauge,,event,second,1 minute rate of threshold limit events for large remote messages sent.,0,Lightbend Reactive Platform,lrp lg r msgs sen 1 min
lightbend.actors.remote_large_message_sent.min15_rate,gauge,,event,second,15 minute rate of threshold limit events for large remote messages sent.,0,Lightbend Reactive Platform,lrp lg r msgs sen 15 min
lightbend.actors.remote_large_message_sent.min5_rate,gauge,,event,second,5 minute rate of threshold limit events for large remote messages sent.,0,Lightbend Reactive Platform,lrp lg r msgs sen 5 min
lightbend.actors.remote_large_message_sent.samples,gauge,,event,second,Total number of threshold limit events for large remote messages sent.,0,Lightbend Reactive Platform,lrp lg r msgs sen total
lightbend.actors.remote_large_message_received.mean_rate,gauge,,event,second,Average rate of threshold limit events for large remote messages received.,0,Lightbend Reactive Platform,lrp lg r msgs rec mean
lightbend.actors.remote_large_message_received.min1_rate,gauge,,event,second,1 minute rate of threshold limit events for large remote messages received.,0,Lightbend Reactive Platform,lrp lg r msgs rec 1 min
lightbend.actors.remote_large_message_received.min15_rate,gauge,,event,second,15 minute rate of threshold limit events for large remote messages received.,0,Lightbend Reactive Platform,lrp lg r msgs rec 15 min
lightbend.actors.remote_large_message_received.min5_rate,gauge,,event,second,5 minute rate of threshold limit events for large remote messages received.,0,Lightbend Reactive Platform,lrp lg r msgs rec 5 min
lightbend.actors.remote_large_message_received.samples,gauge,,event,second,Total number of threshold limit events for large remote messages received.,0,Lightbend Reactive Platform,lrp lg r msgs rec total
lightbend.remote_nodes.cluster_domain_event.mean_rate,gauge,,event,second,Average rate of Akka cluster domain events.,0,Lightbend Reactive Platform,lrp cl dom ev mean
lightbend.remote_nodes.cluster_domain_event.min1_rate,gauge,,event,second,1 minute rate of Akka cluster domain events.,0,Lightbend Reactive Platform,lrp cl dom ev 1 min
lightbend.remote_nodes.cluster_domain_event.min15_rate,gauge,,event,second,15 minute rate of Akka cluster domain events.,0,Lightbend Reactive Platform,lrp cl dom ev 15 min
lightbend.remote_nodes.cluster_domain_event.min5_rate,gauge,,event,second,5 minute rate of Akka cluster domain events.,0,Lightbend Reactive Platform,lrp cl dom ev 5 min
